Food,Food Type,Calories,Grams,Protein,Fat,Fiber,Carbs
Bean soups,Soup,kcal:199.4,g:43.6,8,5,0.6,30
Beef soup,Soup,kcal:106,g:21.5,6,4,0.5,11
Bouillon,Soup,kcal:20,g:5,5,0,0,0
chicken soup,Soup,kcal:74,g:16,4,2,0,10
Clam chowder,Soup,kcal:88,g:19.5,5,2,0.5,12
Cream soups,Soup,kcal:212.8,g:38.2,7,12,1.2,18
Split-pea soup,Soup,kcal:161,g:36.5,8,3,0.5,25
Tomato soup,Soup,kcal:177,g:35.5,6,7,0.5,22
Vegetable,Soup,kcal:90,g:20,4,2,0,14
